Player ID:,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Andrew Ayers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Sat Sep 06 2025 6:18:28 PM,1757182708,Fastball,N,-23.63,15.89,80.79,1872.43,1775.4,94.82,9:58,1,10.4,-15.3,-,-,-,-,-1.91,-1.66,5.67,-2.55,-18.53,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,69
2,Sat Sep 06 2025 6:18:15 PM,1757182695,Slider,N,31.62,12.47,77.71,2349.79,532.8,22.68,8:04,1,-1.6,2.2,-,-,-,-,-5.16,-0.61,5.53,-2.41,-76.89,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,72
3,Sat Sep 06 2025 6:17:52 PM,1757182672,Fastball,N,-14.75,29.1,82.4,2090.44,2005.7,95.95,10:00,1,10.4,-16.1,-,-,-,-,-2.59,-0.7,5.6,-2.32,-16.37,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
4,Sat Sep 06 2025 6:17:31 PM,1757182651,Fastball,N,7.33,10.25,83,1969.09,1809.3,91.89,10:02,1,16.3,-13.4,-,-,-,-,-4.4,-2.75,5.63,-2.56,-23.24,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
5,Sat Sep 06 2025 6:17:14 PM,1757182634,Fastball,N,3.91,9.49,83.33,1944.5,1914.1,98.44,10:02,1,21.4,-14.1,-,-,-,-,-4.11,-3.45,5.7,-2.49,-10.14,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
6,Sat Sep 06 2025 6:17:00 PM,1757182620,ChangeUp,N,9.13,9.98,72.9,1457.61,1322.5,90.73,9:30,1,8.1,-17,-,-,-,-,-5.02,-0.96,5.42,-2.6,24.86,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
7,Sat Sep 06 2025 6:16:47 PM,1757182607,ChangeUp,N,13.13,16.75,73.24,1289.66,1271.7,98.6,9:00,1,11.1,-12.7,-,-,-,-,-4.94,-0.42,5.34,-2.6,9.58,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
8,Sat Sep 06 2025 6:16:30 PM,1757182590,ChangeUp,N,-38.95,36.43,73.52,1332.72,1288.6,96.69,9:08,1,8.8,-15.1,-,-,-,-,-0.68,1.67,5.21,-2.63,14.78,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
9,Sat Sep 06 2025 6:16:14 PM,1757182574,Fastball,Y,-1.18,27.57,83.9,1945.04,1800.6,92.57,9:58,1,12.1,-11.3,-,-,-,-,-3.37,-0.97,5.45,-2.31,-22.22,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
10,Sat Sep 06 2025 6:15:59 PM,1757182559,Slider,Y,8.98,26.3,74.65,2418,485.7,20.09,8:40,1,-2.1,0.4,-,-,-,-,-3.47,1.4,5.45,-2.63,-78.41,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
