Player ID:,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Jack Kelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Sat Sep 06 2025 8:38:29 PM,1757191109,Fastball,Y,-9.91,26.36,84.85,2092.61,1590.1,75.99,1:04,1,18.2,5.9,-,-,-,-,2.11,-2.83,6.42,0.64,40.55,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,70
2,Sat Sep 06 2025 8:38:14 PM,1757191094,Slider,Y,-3.95,20.72,72.61,2320.11,1346.8,58.05,6:16,1,-7.8,-8.1,-,-,-,-,1.05,0.68,6.2,1.34,54.52,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,74
3,Sat Sep 06 2025 8:37:57 PM,1757191077,Fastball,N,-17.59,24.81,84.29,2047.65,1812.7,88.52,1:12,1,20.4,6.1,-,-,-,-,3.06,-3.02,6.33,0.86,27.72,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,68
4,Sat Sep 06 2025 8:37:42 PM,1757191062,Slider,N,-20.87,21.36,73.38,2189.97,1685.2,76.95,7:22,1,-6.6,-13,-,-,-,-,2,0.52,6.03,1.21,39.69,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,64
5,Sat Sep 06 2025 8:37:28 PM,1757191048,Fastball,Y,-2.35,38.16,84.47,2083.1,1863,89.43,1:18,0.5,18.3,8.8,-,-,-,-,1.96,-1.76,6.35,0.88,26.58,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
6,Sat Sep 06 2025 8:37:14 PM,1757191034,ChangeUp,N,-9.15,13.28,79.35,1891.53,1788.6,94.56,1:00,1,13,12.5,-,-,-,-,3.05,-3.02,6.23,1,18.99,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
7,Sat Sep 06 2025 8:36:58 PM,1757191018,Fastball,Y,8.45,35.46,84.6,1999.57,1487.3,74.38,0:28,0.5,19.8,6.6,-,-,-,-,0.78,-2.01,6.24,0.87,41.94,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
8,Sat Sep 06 2025 8:36:43 PM,1757191003,Fastball,Y,0.24,27.26,84.95,1862.02,1473.1,79.11,1:06,1,16.9,6.5,-,-,-,-,1.82,-2.75,6.57,1.19,37.71,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
9,Sat Sep 06 2025 8:35:22 PM,1757190922,ChangeUp,N,-19.62,6.22,79.45,1642.73,1610.3,98.03,1:32,1,22,3.7,-,-,-,-,2.88,-4.41,6.23,0.73,11.4,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
10,Sat Sep 06 2025 8:35:08 PM,1757190908,ChangeUp,N,-12.97,15.36,79.54,1425.64,1342.3,94.16,1:20,1,10,11.5,-,-,-,-,3.28,-2.42,6.23,0.99,19.69,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
11,Sat Sep 06 2025 8:34:54 PM,1757190894,Fastball,Y,-4.02,40.39,85.09,2082.88,1805.4,86.68,0:58,1,21.5,7.2,-,-,-,-,1.94,-1.77,6.36,0.85,29.91,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
12,Sat Sep 06 2025 8:34:28 PM,1757190868,Fastball,N,-4.83,5.35,84.91,2158.08,1967.3,91.16,1:04,1,25.2,9.1,-,-,-,-,2,-5.43,6.7,0.74,24.27,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
13,Sat Sep 06 2025 8:34:14 PM,1757190854,Fastball,N,0.9,16.71,84.41,1993.4,1801,90.35,1:12,1,20.2,8.9,-,-,-,-,1.52,-3.85,6.4,0.75,25.38,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
14,Sat Sep 06 2025 8:34:00 PM,1757190840,Fastball,Y,-9.17,19.61,83.9,2138.03,1873.2,87.61,0:54,1,20.6,7.3,-,-,-,-,2.5,-3.58,6.32,0.92,28.82,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
15,Sat Sep 06 2025 8:33:42 PM,1757190822,Fastball,N,-16.39,-2.64,84.61,2026.79,1807.4,89.18,1:14,1,17.8,9.2,-,-,-,-,3.14,-5.35,6.58,0.83,26.9,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
