Player ID:,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Joey Calabretti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Sat Sep 06 2025 7:24:21 PM,1757186661,Fastball,N,-7.99,45.17,88.82,2476.31,1850.5,74.73,1:36,0.5,18.4,2.5,-,-,-,-,2.12,-2.04,6.85,1.09,41.64,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,72
2,Sat Sep 06 2025 7:24:03 PM,1757186643,Slider,N,-23.53,6.14,80.58,2554.96,1631.7,63.86,7:52,1,2.3,-7,-,-,-,-,3.7,-2.5,6.23,2.11,50.31,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,72
3,Sat Sep 06 2025 7:23:31 PM,1757186611,Splitter,N,-19.88,7.79,82.3,1459.5,1079.7,73.98,1:48,1,13.9,5,-,-,-,-,4,-3.79,6.54,1.77,42.29,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,70
4,Sat Sep 06 2025 7:23:17 PM,1757186597,Splitter,N,-5.11,4.8,83.06,1628.65,1428.7,87.72,1:28,1,20.5,14.3,-,-,-,-,3.74,-4.7,6.39,1.92,28.69,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,72
5,Sat Sep 06 2025 7:22:59 PM,1757186579,Fastball,N,-14.33,25.25,88.05,2360.69,1774.7,75.18,1:36,1,23.3,0.2,-,-,-,-,2.52,-3.9,6.76,1.14,41.26,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
6,Sat Sep 06 2025 7:22:34 PM,1757186554,Slider,N,-35.27,-0.64,80.6,2576.57,989.4,38.4,6:06,1,2.4,-11.1,-,-,-,-,4.41,-2.99,6.21,2.2,67.42,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
7,Sat Sep 06 2025 7:22:18 PM,1757186538,Slider,N,-11.81,20.01,79.58,2468.18,868.7,35.2,6:02,1,1.1,-9.5,-,-,-,-,2.56,-0.83,6,2.18,69.39,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
8,Sat Sep 06 2025 7:22:02 PM,1757186522,Fastball,N,11.29,44.82,87.2,1759.37,1411.6,80.23,0:22,0.5,23.3,1.2,-,-,-,-,0.37,-2.19,6.81,1.18,-36.65,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
9,Sat Sep 06 2025 7:21:44 PM,1757186504,Slider,Y,-4.35,29.7,79.95,2489.17,689,27.68,6:22,1,0.3,-9.1,-,-,-,-,1.68,-0.05,6.18,1.97,73.93,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
10,Sat Sep 06 2025 7:21:28 PM,1757186488,Slider,N,-30.19,0.6,80.13,2479.3,887.4,35.79,6:10,1,0.6,-8.6,-,-,-,-,3.89,-2.95,6.44,1.92,69.03,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
11,Sat Sep 06 2025 7:21:12 PM,1757186472,Fastball,Y,-8.74,34.48,88.38,2227.8,1697.9,76.21,0:58,1,24,2.5,-,-,-,-,2.09,-3.28,6.84,1,40.35,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
12,Sat Sep 06 2025 7:20:56 PM,1757186456,Fastball,Y,9.27,20.83,87.61,2332.02,2005,85.98,1:16,0.5,17.3,6.2,-,-,-,-,0.96,-3.6,6.78,1.15,30.71,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
13,Sat Sep 06 2025 7:20:42 PM,1757186442,Fastball,N,12.26,27.89,87.47,2329.84,1901.3,81.61,0:20,0.5,19.6,8,-,-,-,-,0.76,-3.33,6.73,1.07,35.31,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
14,Sat Sep 06 2025 7:20:28 PM,1757186428,Fastball,N,-16.93,36.56,88.58,2233.98,2032.3,90.97,0:34,0.5,21.1,2.5,-,-,-,-,2.88,-2.31,6.29,0.96,24.53,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
15,Sat Sep 06 2025 7:20:15 PM,1757186415,Fastball,Y,-2.79,37.98,88.57,2332.88,2053.6,88.03,0:56,1,28,4.7,-,-,-,-,1.86,-2.87,6.52,1.1,28.33,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
