Player ID:,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Justin Gottlieb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Sat Sep 06 2025 7:04:35 PM,1757185475,Fastball,N,-27.59,16.85,81.76,1690.82,1517.3,89.74,1:20,1,18.9,7.6,-,-,-,-,4.14,-2.81,5.84,0.98,26.19,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,79
2,Sat Sep 06 2025 7:04:19 PM,1757185459,Slider,N,-14.51,17.11,77.17,1788.43,721.9,40.37,7:30,1,4.1,1.2,-,-,-,-,2.89,-0.53,5.51,1.4,66.19,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,76
3,Sat Sep 06 2025 7:04:01 PM,1757185441,Fastball,N,-6.02,14.98,83.34,1739.15,1606.8,92.39,1:24,1,15.6,11.9,-,-,-,-,3.07,-2.83,5.68,1.35,22.5,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,81
4,Sat Sep 06 2025 7:03:41 PM,1757185421,CurveBall,N,-16.68,31.73,74.26,2191.8,1591.6,72.62,7:20,1,-2.4,-5,-,-,-,-,2.29,1.34,5.67,1.13,43.43,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,79
5,Sat Sep 06 2025 7:03:23 PM,1757185403,Fastball,N,-28.04,15.13,82.84,1874.09,1621.5,86.52,0:50,1,20.4,10.3,-,-,-,-,4.71,-3.23,5.89,1.26,30.09,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
6,Sat Sep 06 2025 7:03:08 PM,1757185388,Fastball,N,7.13,13.67,82.75,1773.09,1663.9,93.84,1:54,1,17.8,12.5,-,-,-,-,2.21,-3.06,5.79,1.65,20.21,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
7,Sat Sep 06 2025 7:02:54 PM,1757185374,Slider,Y,-7.52,37.77,76.32,1916.09,757.6,39.54,7:30,1,2.4,-2.1,-,-,-,-,2.03,1.48,5.55,1.43,66.71,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
8,Sat Sep 06 2025 7:02:35 PM,1757185355,Fastball,N,-5.61,15.32,83.55,1795.86,1661.5,92.52,1:50,1,11.9,12.2,-,-,-,-,3.09,-2.42,5.71,1.41,22.3,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
9,Sat Sep 06 2025 7:02:18 PM,1757185338,CurveBall,Y,-6.02,23.93,74.98,2362.95,1612.2,68.23,7:08,0.5,-7.6,-5.3,-,-,-,-,1.51,1.03,5.66,1.33,46.98,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
10,Sat Sep 06 2025 7:01:29 PM,1757185289,Fastball,N,-13.61,-0.06,83.24,1908.74,1769.5,92.71,1:24,1,16,13,-,-,-,-,3.88,-4.06,5.75,1.48,22.02,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
11,Sat Sep 06 2025 7:01:15 PM,1757185275,Slider,N,-15.89,17.95,77.51,2063.5,796.5,38.6,7:28,1,5.5,-0.6,-,-,-,-,3.09,-0.7,5.47,1.52,67.3,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
12,Sat Sep 06 2025 7:00:57 PM,1757185257,Slider,N,-30.36,20.62,76.75,2159.49,881.9,40.84,7:24,1,2,-1.9,-,-,-,-,4.46,0.06,5.46,1.79,65.9,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
13,Sat Sep 06 2025 7:00:40 PM,1757185240,Fastball,N,15.49,27.63,83.81,1808.46,1698.9,93.94,1:52,1,15.4,12.5,-,-,-,-,1.46,-1.77,5.73,1.59,20.04,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
14,Sat Sep 06 2025 7:00:23 PM,1757185223,Fastball,N,20.53,16.95,83.59,1700.64,1619.8,95.25,0:44,1,15.1,14.9,-,-,-,-,0.99,-2.56,5.65,1.38,17.74,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
15,Sat Sep 06 2025 7:00:09 PM,1757185209,Fastball,N,-17.37,10.98,84.09,1887.4,1844.8,97.74,1:10,1,24.9,11.4,-,-,-,-,3.99,-4.02,6.02,1.46,12.2,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
16,Sat Sep 06 2025 6:59:55 PM,1757185195,Fastball,Y,4.61,26.05,83.49,1641.38,1431.7,87.23,0:56,0.5,21,12.4,-,-,-,-,2.34,-2.61,5.98,1.54,29.28,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
