Player ID:,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Mark Holm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Sat Sep 06 2025 7:58:16 PM,1757188696,Fastball,N,-0.27,53.5,87.45,2894.3,2731.9,94.39,10:40,0.5,19.5,-15,-,-,-,-,-3.52,0.06,5.88,-2.04,-19.28,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,74
2,Sat Sep 06 2025 7:57:58 PM,1757188678,Slider,N,10.82,21.8,76.18,2034.35,573.9,28.21,10:30,1,2.6,1.1,-,-,-,-,-3.41,-0.04,5.48,-2.34,-73.61,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,79
3,Sat Sep 06 2025 7:57:36 PM,1757188656,ChangeUp,N,-13.28,31.52,77.58,1617.44,1598.1,98.8,10:28,1,18.4,-12.2,-,-,-,-,-2.07,-1.13,5.72,-1.98,8.87,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,79
4,Sat Sep 06 2025 7:57:18 PM,1757188638,ChangeUp,N,4.99,-15.61,80.71,1595.46,1588.2,99.55,10:30,1,16.2,-11.7,-,-,-,-,-3.65,-5.79,6.03,-2.08,5.45,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,77
5,Sat Sep 06 2025 7:57:03 PM,1757188623,Fastball,Y,8.87,33.23,84.05,2083.15,2023.8,97.15,10:50,1,22.9,-14,-,-,-,-,-4.16,-2.25,5.97,-1.94,-13.71,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
6,Sat Sep 06 2025 7:56:45 PM,1757188605,-,N,-,-,73.65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
7,Sat Sep 06 2025 7:56:12 PM,1757188572,CurveBall,N,18.55,14.52,77.19,2030.86,599.7,29.53,9:54,1,3.6,2.3,-,-,-,-,-4.08,-0.88,5.5,-2.46,-72.82,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
8,Sat Sep 06 2025 7:55:49 PM,1757188549,Slider,N,37.82,10.68,77.75,2079.21,656,31.55,9:56,1,5.7,5.7,-,-,-,-,-4.98,-1.72,5.54,-1.98,-71.61,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
9,Sat Sep 06 2025 7:55:34 PM,1757188534,ChangeUp,N,-16.26,10.29,80.49,1585.89,1560.3,98.38,10:30,1,14.7,-10.3,-,-,-,-,-1.59,-3.07,5.87,-1.98,10.32,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
10,Sat Sep 06 2025 7:55:18 PM,1757188518,ChangeUp,Y,-3.96,28.71,80.1,1407.75,1386.2,98.47,10:30,1,13.8,-7.1,-,-,-,-,-2.09,-1.19,5.76,-1.65,10.03,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
11,Sat Sep 06 2025 7:55:01 PM,1757188501,Fastball,N,4.73,54.71,87.32,1756.73,1716.2,97.69,10:54,1,24.2,-10.3,-,-,-,-,-3.36,-0.3,5.88,-1.86,-12.33,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
12,Sat Sep 06 2025 7:54:45 PM,1757188485,Fastball,N,21.73,41.9,85.81,1690.94,1669.2,98.71,10:52,1,15.2,-11.6,-,-,-,-,-4.96,-0.68,5.82,-1.69,-9.2,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
13,Sat Sep 06 2025 7:54:31 PM,1757188471,Fastball,N,17.71,30.45,84.69,1948.87,1891.1,97.04,11:14,1,16.8,-10.5,-,-,-,-,-4.28,-1.96,5.89,-1.53,-13.98,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
14,Sat Sep 06 2025 7:54:10 PM,1757188450,Fastball,N,-2.13,55.85,84.37,2009.45,2006.9,99.88,11:22,1,16.5,-10.4,-,-,-,-,-2.66,0.55,5.87,-1.72,2.86,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
15,Sat Sep 06 2025 7:53:55 PM,1757188435,Fastball,N,-1.52,48.46,84.06,1980.83,1970.9,99.5,11:04,0.5,15.2,-10.6,-,-,-,-,-2.88,0.24,5.75,-1.89,-5.72,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
