Player ID:,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Ryan Kucy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Sat Sep 06 2025 5:32:50 PM,1757179970,Fastball,N,-13.77,25.29,83.66,2514.35,2223.8,88.45,3:28,1,3.8,17.7,-,-,-,-,5.58,0.97,4.2,2.71,27.81,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,77
2,Sat Sep 06 2025 5:32:31 PM,1757179951,ChangeUp,N,-20,7.65,78.34,1778.32,1672.4,94.04,3:10,1,5.3,16.7,-,-,-,-,6.26,-0.35,4.27,2.93,19.88,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,78
3,Sat Sep 06 2025 5:32:18 PM,1757179938,Fastball,Y,-4.05,21.85,82.32,2342.63,1225.6,52.32,4:00,1,2.4,14.3,-,-,-,-,4.68,0.91,4.15,2.95,58.46,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,76
4,Sat Sep 06 2025 5:32:04 PM,1757179924,Slider,N,-20.26,8.56,73.05,2597.53,1165.5,44.87,7:02,1,5.1,-13.9,-,-,-,-,3.7,0.52,4.27,3.09,63.34,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,80
5,Sat Sep 06 2025 5:31:51 PM,1757179911,Slider,N,-19.62,20.36,73.45,2691.94,2216.6,82.34,7:44,1,-1.6,-9.2,-,-,-,-,4.05,1.86,4.37,2.96,34.57,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
6,Sat Sep 06 2025 5:31:37 PM,1757179897,Fastball,Y,5.05,29.48,81.95,2408.86,2158.7,89.61,3:28,1,5.2,16.3,-,-,-,-,4.04,1.58,3.95,2.86,26.35,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
7,Sat Sep 06 2025 5:31:22 PM,1757179882,ChangeUp,N,-7.79,16.77,77.93,1739.1,1646,94.64,2:50,1,7,12,-,-,-,-,4.79,0.13,4.35,2.96,18.84,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
8,Sat Sep 06 2025 5:31:05 PM,1757179865,ChangeUp,N,17.26,8.99,77.41,1724.36,1694.5,98.27,3:06,1,-2.2,17,-,-,-,-,3.13,0.58,4.17,3,10.68,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
9,Sat Sep 06 2025 5:30:51 PM,1757179851,Fastball,N,-27.02,15.13,81.93,2433.4,1589.7,65.33,4:04,1,5.9,16,-,-,-,-,6.71,-0.14,4.25,2.95,49.21,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
10,Sat Sep 06 2025 5:30:38 PM,1757179838,Slider,N,-24.3,13.09,75.23,2730.16,1083.4,39.68,6:08,1,-0.4,-8.6,-,-,-,-,4.47,1.06,4.3,2.97,66.62,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
11,Sat Sep 06 2025 5:30:25 PM,1757179825,Slider,N,-24.37,11.77,73.21,2637.63,1199.5,45.48,10:38,1,15.8,-12.3,-,-,-,-,4.29,-0.16,4.32,3.23,62.95,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
12,Sat Sep 06 2025 5:30:09 PM,1757179809,Fastball,N,8.27,17.04,82.75,2438.31,2167.2,88.88,2:32,1,6.5,20.1,-,-,-,-,4.16,0.27,3.97,3.01,27.28,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
13,Sat Sep 06 2025 5:29:57 PM,1757179797,Fastball,Y,-6.19,19.45,82.35,2363.07,2250.1,95.22,2:26,1,6.7,18.9,-,-,-,-,5.32,0.36,4.11,3.05,17.79,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
14,Sat Sep 06 2025 5:29:44 PM,1757179784,Fastball,N,-12.52,24.82,82.23,2321.99,2037.7,87.76,2:48,1,8.3,16.6,-,-,-,-,5.59,0.57,4.12,2.84,28.65,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
15,Sat Sep 06 2025 5:29:31 PM,1757179771,Fastball,N,-37.73,23.18,82.32,2422.37,749,30.92,3:46,1,4,14.9,-,-,-,-,7.55,0.59,4.31,2.87,71.99,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
