Player ID:,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Tom Wilkie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Sat Sep 06 2025 5:04:23 PM,1757178263,TwoSeamFastball,N,19.48,20.11,88.98,2169.57,2015,92.87,10:04,1,14.6,-12.2,-,-,-,-,-5.2,-2.7,5.69,-2.15,-21.76,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,73
2,Sat Sep 06 2025 5:04:01 PM,1757178241,Fastball,N,17.51,56.17,92.61,2342.16,1929.3,82.37,10:14,1,19.1,-4.7,-,-,-,-,-4.41,0.08,5.83,-2.24,-34.54,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,72
3,Sat Sep 06 2025 5:03:47 PM,1757178227,Slider,N,14.79,25.72,75.86,2330.93,996.5,42.75,4:28,1,-3.5,9.8,-,-,-,-,-2.7,0.76,5.83,-2.1,-64.69,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,66
4,Sat Sep 06 2025 5:03:32 PM,1757178212,Slider,N,37.95,10.25,76.92,2295.89,829,36.11,5:22,1,1.4,8,-,-,-,-,-4.95,-1.53,5.88,-2.17,-68.83,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,70
5,Sat Sep 06 2025 5:03:12 PM,1757178192,Fastball,N,17.08,23.14,90.64,2262.89,2101.2,92.85,10:10,1,11.5,-9.8,-,-,-,-,-4.59,-2.44,5.94,-2.05,-21.79,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
6,Sat Sep 06 2025 5:02:53 PM,1757178173,Cutter,N,21.61,18.97,89.01,2157.86,1988,92.13,10:06,1,13,-12,-,-,-,-,-5.4,-2.63,5.78,-2.24,-22.89,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
7,Sat Sep 06 2025 5:02:39 PM,1757178159,Slider,N,13.98,32.26,77.01,2381.19,904.3,37.98,4:34,1,-3,11.2,-,-,-,-,-2.48,1.24,5.85,-2.12,-67.68,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
8,Sat Sep 06 2025 5:02:22 PM,1757178142,Fastball,N,-13.83,39.99,90.29,2313.14,2192.7,94.79,10:08,1,14.4,-14,-,-,-,-,-2.52,-0.86,5.77,-2.37,-18.57,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
9,Sat Sep 06 2025 5:02:07 PM,1757178127,Fastball,N,1.07,48.66,93.42,2247.53,2004.4,89.18,10:16,1,25.5,-8.8,-,-,-,-,-3.29,-1.34,5.93,-2.23,-26.89,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
10,Sat Sep 06 2025 5:01:52 PM,1757178112,Slider,N,30.66,33.03,77.45,2416.64,1904.2,78.79,3:06,1,-0.9,11.4,-,-,-,-,-4.27,1.1,5.74,-2.42,-38.01,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
11,Sat Sep 06 2025 5:01:36 PM,1757178096,Fastball,N,16.42,42.86,90.11,2293.68,2166,94.43,10:04,1,6.8,-12.4,-,-,-,-,-4.98,-0.04,5.69,-2.09,-19.21,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
12,Sat Sep 06 2025 5:01:21 PM,1757178081,Fastball,Y,5.01,23.05,88.68,2320.58,2183.1,94.08,10:04,1,12.6,-17.6,-,-,-,-,-4.52,-2.25,5.89,-2.39,-19.82,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
